2019-08-08 19:09:17.0134 Info Loading Cardigann definition /app/Jackett/Definitions/cztorrent.yml 
2019-08-08 19:09:17.0134 Info Loading Cardigann definition /app/Jackett/Definitions/hdarea.yml 
2019-08-08 19:09:17.0225 Info Loading Cardigann definition /app/Jackett/Definitions/fullmixmusic.yml 
2019-08-08 19:09:17.0225 Info Loading Cardigann definition /app/Jackett/Definitions/polishsource.yml 
2019-08-08 19:09:17.0322 Info Loading Cardigann definition /app/Jackett/Definitions/totallykids.yml 
2019-08-08 19:09:17.0322 Info Loading Cardigann definition /app/Jackett/Definitions/vanila.yml 
2019-08-08 19:09:17.0425 Info Loading Cardigann definition /app/Jackett/Definitions/dark-shadow.yml 
2019-08-08 19:09:17.0425 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaronero.yml 
2019-08-08 19:09:17.0531 Info Loading Cardigann definition /app/Jackett/Definitions/zelkaorg.yml 
2019-08-08 19:09:17.0531 Info Loading Cardigann definition /app/Jackett/Definitions/amigosshare.yml 
2019-08-08 19:09:17.0657 Info Loading Cardigann definition /app/Jackett/Definitions/speedtorrentreloaded.yml 
2019-08-08 19:09:17.0728 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupforum.yml 
2019-08-08 19:09:17.0728 Info Loading Cardigann definition /app/Jackett/Definitions/ztracker.yml 
2019-08-08 19:09:17.0822 Info Loading Cardigann definition /app/Jackett/Definitions/solidtorrents.yml 
2019-08-08 19:09:17.0822 Info Loading Cardigann definition /app/Jackett/Definitions/racingforme.yml 
2019-08-08 19:09:17.0941 Info Loading Cardigann definition /app/Jackett/Definitions/torrent-turk.yml 
2019-08-08 19:09:17.0941 Info Loading Cardigann definition /app/Jackett/Definitions/downloadville.yml 
2019-08-08 19:09:17.1068 Info Loading Cardigann definition /app/Jackett/Definitions/rutor.yml 
2019-08-08 19:09:17.1130 Info Loading Cardigann definition /app/Jackett/Definitions/aox.yml 
2019-08-08 19:09:17.1130 Info Loading Cardigann definition /app/Jackett/Definitions/documentarytorrents.yml 
